SEQ,Shipping Location Code,Shipping Location Name,Delivery Due Date,Delivery Time (From),Delivery Time (To),Item Number,Item Name,Supplier Code,Supplier Name,User Code,User Name,P/F,P/F Name,Order No.,Order Quantity,Unit,Production Classification,Color,Item Class,Packing Name,Packing Capacity,Pickup,Delivery Slip No.,Delivery Slip & Receipt Card Print Date,Inspection Report Print Date,Item Card Print Date,Original Item Code,Supplier Information,Output date
37,0,<Default>,30-09-24,7:30,8:00,B65H5546000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,2201,160,PCS,,,2,6011,40,,Y0B766710727063,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
38,0,<Default>,30-09-24,7:30,8:00,B6HF1621100080,FLAP,7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,849,600,PCS,,,2,6011,40,,Y0B766710728372,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
39,0,<Default>,30-09-24,7:30,8:00,BBPF8349000080,CAP,7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1223,160,PCS,,,2,6011,40,,Y0B766710727917,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
40,0,<Default>,30-09-24,7:30,8:00,BBPH2351000080,"TUBE,CORD 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1223,160,PCS,,,2,6011,40,,Y0B766710727976,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
41,0,<Default>,30-09-24,7:30,8:00,BBPH5546000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,690G,Depo Body Assy #2,MA02,Body Assy Medium Parts,1052,680,PCS,,,2,6011,40,,Y0B766710727846,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
42,0,<Default>,30-09-24,7:30,8:30,1EGE81130200M0,"COVER,SHIFT PEDAL",7667,PT. CATURINDO AGUNGJAYA RUBBER,5201,Packing (CKD),MED1,PF Medium 1 Packing,448,300,PCS,,,2,,100,,Y0B766710728597,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
43,0,<Default>,30-09-24,7:30,8:30,1FDH5546100080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,5201,Packing (CKD),MED1,PF Medium 1 Packing,1012,200,PCS,,,2,6011,50,,Y0B766710726460,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
44,0,<Default>,30-09-24,7:30,8:30,B3MH1662000080,"COVER,CONNECTOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,5201,Packing (CKD),MED1,PF Medium 1 Packing,373,100,PCS,,,2,,50,,Y0B766710727731,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
45,0,<Default>,30-09-24,7:30,8:30,B74F483H000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,5201,Packing (CKD),MED1,PF Medium 1 Packing,121,300,PCS,,,2,6011,100,,Y0B766710726762,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
46,0,<Default>,30-09-24,7:30,8:30,2DPE5495000080,"SEAL,PROTECTOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,3364,160,PCS,,,2,6011,40,,Y0B766710726272,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
47,0,<Default>,30-09-24,7:30,8:30,4YYF7114000080,STOPPER,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,2893,40,PCS,,,2,6011,40,,Y0B766710725670,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
48,0,<Default>,30-09-24,7:30,8:30,B5DF465B000080,"CAP,ROTOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,1557,240,PCS,,,2,6011,40,,Y0B766710727431,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
49,0,<Default>,30-09-24,7:30,8:30,B5XH2591000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,973,40,PCS,,,2,6011,40,,Y0B766710727789,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
50,0,<Default>,30-09-24,7:30,8:30,B65F3123000080,"COVER,UNDER 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,3047,280,PCS,,,2,6011,40,,Y0B766710726676,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
51,0,<Default>,30-09-24,7:30,8:30,B65F3415000080,"COVER,BALL RACE 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,1362,160,PCS,,,2,6011,40,,Y0B766710726535,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
52,0,<Default>,30-09-24,7:30,8:30,B65H5546000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,2878,200,PCS,,,2,,40,,Y0B766710726945,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
53,0,<Default>,30-09-24,7:30,8:30,B6HF1621100080,FLAP,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,753,160,PCS,,,2,6011,40,,Y0B766710728294,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
54,0,<Default>,30-09-24,7:30,8:30,B6HF247C000080,"HOSE,3",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,827,160,PCS,,,2,,40,,Y0B766710727774,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
55,0,<Default>,30-09-24,7:30,8:30,B6HF312G000080,"PLUG,HOLE",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,1787,240,PCS,,,2,6011,40,,Y0B766710727614,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
56,0,<Default>,30-09-24,7:30,8:30,B74F3469000080,"CAP,BOLT",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,2162,160,PCS,,,2,6011,40,,Y0B766710726847,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
57,0,<Default>,30-09-24,7:30,8:30,B74F414A0000M0,"COVER,FILLER",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,2061,40,PCS,,,2,6033,10,,Y0B766710727305,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
58,0,<Default>,30-09-24,7:30,8:30,B74F4639000080,"STOPPER,PLATE",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,2159,40,PCS,,,2,6011,40,,Y0B766710726891,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
59,0,<Default>,30-09-24,7:30,8:30,B74F483H000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,1328,40,PCS,,,2,6011,40,,Y0B766710726779,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
60,0,<Default>,30-09-24,7:30,8:30,B74F8175000080,"TOOL,HOLDER",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,2221,40,PCS,,,2,6011,40,,Y0B766710726918,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
61,0,<Default>,30-09-24,7:30,8:30,B74H2131000080,"BAND,BATTERY",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,2080,40,PCS,,,2,6011,20,,Y0B766710726811,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
62,0,<Default>,30-09-24,7:30,8:30,BBPE443E000080,"PIPE,DRAIN",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,427,80,PCS,,,2,,40,,Y0B766710727986,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
63,0,<Default>,30-09-24,7:30,8:30,BKAF4317000080,"PIPE,7",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,60,40,PCS,,,2,6011,20,,Y0B766710728542,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
64,0,<Default>,30-09-24,7:30,8:30,BKAF4785000080,MOLE,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,514,40,PCS,,,2,6033,20,,Y0B766710728513,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
65,0,<Default>,30-09-24,7:30,8:30,BLSF838M000080,"SEAL,BOX 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,MED1,PF Medium 1 Packing,43,80,PCS,,,2,2033,40,,Y0B766710728845,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
66,0,<Default>,30-09-24,7:30,8:30,B65F414A010080,"COVER,FILLER",7667,PT. CATURINDO AGUNGJAYA RUBBER,690C,Depo Central Manufacturing,MT04,Steel painting,2347,600,PCS,,,2,Plastic Cont.,20,,Y0B766710728096,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
67,0,<Default>,30-09-24,9:00,10:00,902022614200M3,WASHER PLAIN,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,SMAL,PF Small Part Packing,3437,80,PCS,,,2,6011,40,,Y0B766710725773,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
68,0,<Default>,30-09-24,9:00,10:00,904801548300M0,GROMMET,7667,PT. CATURINDO AGUNGJAYA RUBBER,5207,Receiving Global model packing,SMAL,PF Small Part Packing,1119,40,PCS,,,2,6011,40,,Y0B766710727330,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
69,0,<Default>,30-09-24,9:00,10:00,904801339800M2,GROMMET,7667,PT. CATURINDO AGUNGJAYA RUBBER,5301,Steel Paint,P9DI,,1141,160,PCS,,,2,6011,1920,,Y0B766710725964,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
70,0,<Default>,30-09-24,9:00,10:00,1EGE81130200M0,"COVER,SHIFT PEDAL",7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92A,PF Depo Local Small parts,353,200,PCS,,,2,,100,,Y0B766710728607,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
71,0,<Default>,30-09-24,9:00,10:00,3C1H21310000M0,"BAND,BATTERY",7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92A,PF Depo Local Small parts,1505,100,PCS,,,2,6011,400,,Y0B766710727219,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
72,0,<Default>,30-09-24,9:00,10:00,902022614200M3,WASHER PLAIN,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92A,PF Depo Local Small parts,4429,100,PCS,,,2,6011,2400,,Y0B766710725783,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
73,0,<Default>,30-09-24,9:00,10:00,9.04452E+13,HOSE,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92A,PF Depo Local Small parts,1784,100,PCS,,,2,6011,400,,Y0B766710727081,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
74,0,<Default>,30-09-24,9:00,10:00,9.048E+13,GROMMET,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92A,PF Depo Local Small parts,4485,100,PCS,,,2,6011,600,,Y0B766710725854,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
75,0,<Default>,30-09-24,9:00,10:00,9.04801E+13,GROMMET,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92A,PF Depo Local Small parts,1164,400,PCS,,Q-SPEC-L,2,6011,2400,,Y0B766710725880,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
76,0,<Default>,30-09-24,9:00,10:00,904801300100M0,GROMMET,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92A,PF Depo Local Small parts,2142,400,PCS,,,2,6011,1800,,Y0B766710726432,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
77,0,<Default>,30-09-24,9:00,10:00,BBPE443E000080,"PIPE,DRAIN",7667,PT. CATURINDO AGUNGJAYA RUBBER,590C,Depo Global Engine,P9CA,PF Printing,1227,200,PCS,,,2,6011,600,,Y0B766710728006,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
